S.NO, Name,Movie,Avg E,Avg H,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Mean_SC0,Mean_SC1,Mean_SC2,Mean_SC3,Mean_SC4,Mean_SC5,Mean_SC6,SD_SC0,SD_SC1,SD_SC2,SD_SC3,SD_SC4,SD_SC5,SD_SC6,Mean_Centroid,SD_Centroid,Mean_Flatness,SD_Flatness,PeakDensity,Tempo
27,Adiye Ivale,Romeo Juliet,0.5,0.416666667,-0.023293718,-0.037909708,-0.013468643,-0.05525249,-0.035250801,-0.061357393,-0.030462455,-0.016654501,-0.043177002,-0.079192605,-0.013226743,-0.064935984,-0.038179792,0.267493296,0.374407239,0.46216587,0.473101506,0.46094362,0.407145505,0.460828494,0.107984585,0.103816318,0.157417959,0.178384776,0.174144983,0.178364044,0.113380538,0.374291096,0.131307908,0.084296785,0.11276255,5.522540984,129.1992188
28,Sevandhu Pochu Nenju,CCV,0.75,0.5,-0.020859184,-0.001124555,0.048692029,0.042963318,0.057104576,-0.003115257,0.076566565,-0.006891559,0.024380932,0.058836926,-0.059453555,-0.034659211,0.022295779,0.281946803,0.418701179,0.441572893,0.504511333,0.511821376,0.383927507,0.666463221,0.111171254,0.160246723,0.146584288,0.152832551,0.140064651,0.137920899,0.098973011,0.27311445,0.199354726,0.066545434,0.10699299,2.692349304,123.046875
29,Kadal Rasa Naan,Mariyaan,0.833333333,0.25,-0.017552443,-0.029809368,-0.009341156,3.41E-05,-0.026773866,-0.017679501,0.008750383,-0.016841005,0.00634421,-0.006873504,-0.005115338,-0.008398245,-0.001210235,0.382346672,0.33556205,0.378410855,0.373922965,0.416767775,0.370624083,0.522991758,0.151824846,0.152521055,0.184975584,0.183086066,0.181545922,0.184866437,0.122213277,0.372263449,0.176280886,0.06900757,0.12200068,4.305064063,107.6660156
30,Aruva Meesai,Dhool,0.916666667,0.833333333,-0.035874179,-0.016767188,0.006390699,-0.042374589,-0.004283466,-0.039612633,0.013108043,-0.033923545,0.00055748,-0.027667822,0.00744525,-0.022333139,-0.003966855,0.394796799,0.32969095,0.386800812,0.308208871,0.31689308,0.303418043,0.721433681,0.124850766,0.156025751,0.165643638,0.156579777,0.16766703,0.160221041,0.098576236,0.345408743,0.128073119,0.20677194,0.18592083,6.647228989,151.9990809
31,Daavuya,Remo,0.5,0.333333333,-0.01386397,-0.035938943,-0.030207017,-0.005200259,-0.038609296,-0.067240931,-0.034765495,-0.032247782,-0.065332439,-0.018817193,-0.046040771,-0.029443392,-0.000979144,0.405971969,0.402087084,0.327515522,0.370685434,0.397439346,0.367079546,0.527675514,0.135245427,0.156970309,0.137140002,0.168372323,0.186145356,0.171599775,0.133415968,0.251387452,0.106002596,0.07893269,0.089956395,4.855481983,123.046875
32,Kadhal Valarthen,Manmadhan,0.5,0.25,-0.014155661,0.006559075,-0.017798788,-0.007942796,-0.008817648,0.015023766,-0.019369648,0.014348131,-0.00119965,-0.002770983,0.017773067,-0.004721922,0.008512908,0.413577555,0.421132124,0.422856552,0.439791805,0.405513918,0.49277067,0.446614729,0.130238563,0.178311582,0.16164802,0.154852907,0.154105579,0.143440908,0.121447713,0.329691416,0.15881354,0.06823934,0.11257623,3.763486742,123.046875
33,Puli Urumudhu,Vettaikaran,0.916666667,0.5,-0.014579739,-0.031376427,-0.014409928,-0.013970005,-0.029868664,-0.01471553,0.003199662,-0.027441603,0.000568771,-0.00150243,-0.023715046,-0.007346576,-0.020169139,0.33245928,0.336229534,0.339951603,0.405842132,0.422280859,0.326337145,0.471928082,0.134796643,0.148906718,0.145354365,0.164910261,0.174112,0.159353732,0.133290251,0.491112798,0.18931684,0.1341474,0.13803414,5.608208955,151.9990809
34,Varlam Varlam Va,Bairavaa,0.916666667,0.583333333,-0.03210417,-0.036148549,-0.015077578,-0.02160946,0.00229468,-0.019668546,0.012343978,-0.004344341,-0.036488307,-0.037087232,-0.024679879,-0.013820572,-0.00060635,0.307558997,0.376526512,0.358569824,0.414812162,0.371645038,0.378981862,0.40403477,0.12961859,0.173869498,0.143863919,0.153387472,0.157932077,0.167031745,0.12246803,0.29125825,0.157324882,0.16022846,0.1620728,4.909090909,135.9991776
35,Velaiyilla Pattadhari,VIP,1,0.75,-0.021184054,-0.045694276,0.00219512,0.021257027,0.021734525,0.018605817,0.035875105,0.000861552,-0.010711335,-0.034753627,-0.029011916,-0.025603347,-0.008279415,0.272565092,0.386611903,0.355866389,0.353311724,0.346040996,0.306076832,0.50718462,0.107592357,0.151490076,0.164770333,0.141942769,0.144264719,0.134058508,0.166235191,0.412064641,0.144534256,0.12088085,0.15742697,4.95270484,123.046875
36,Hey Mama,Sethupathi,0.75,0.583333333,-0.023471678,-0.011623425,-0.002612332,-0.007591645,0.011065217,0.002476692,0.014280172,0.00604679,0.030430706,-0.048286618,-0.043488213,0.002324279,-0.030709816,0.289433986,0.34988053,0.378899506,0.414570312,0.346697563,0.340790651,0.499387254,0.121145558,0.162144328,0.167565173,0.161200164,0.170843563,0.16794766,0.106634058,0.476062127,0.187776602,0.13382012,0.17016703,4.397821418,103.359375
37,Vetrikodu Kattu,Padayappa,0.916666667,0.666666667,-0.022412207,-0.01421026,0.003318096,0.007710821,-0.04081323,-0.004726894,0.009669171,-0.044791215,0.031341753,0.000742357,-0.032234672,0.00062441,-0.028899218,0.288178317,0.357967978,0.345784426,0.291576089,0.346693653,0.294627849,0.634189043,0.124776237,0.152810998,0.131709295,0.134117562,0.170178625,0.163441206,0.095506467,0.495396298,0.169232022,0.12569125,0.117617786,6.361220771,123.046875
38,Natchathira Jannalil,Suryavamsam,0.5,0.75,-0.051932398,-0.045004101,0.023614788,-0.02214774,0.028940306,0.007187922,0.042978621,-0.034681827,0.03014611,-0.025094086,0.001932175,-0.000705282,0.019333456,0.323713007,0.343118468,0.460616951,0.465498353,0.423918249,0.467100888,0.505260488,0.123393016,0.141371033,0.173696389,0.192843927,0.197729535,0.201140829,0.143268828,0.398118453,0.119493482,0.1932604,0.19378136,5.325435647,129.1992188
39,Innum Enna Thola,7aam Arivu,0.5,0.333333333,-0.014928603,0.013039738,-0.038175988,0.019697275,-0.042214054,-0.021729806,0.007610313,-0.07403723,-0.041794677,-0.028164623,-0.039852408,-0.035205804,-0.04327655,0.341278872,0.417331716,0.394096282,0.444176531,0.419751441,0.442164546,0.562875168,0.120838666,0.152002562,0.156336315,0.185203628,0.196765912,0.18484367,0.124739316,0.236534157,0.115159991,0.11590945,0.1297985,7.262580055,112.3471467
40,Evandi Unna Pethan,Vaanam,0.916666667,0.583333333,-0.018684001,-0.023590099,-0.041928772,-0.043367078,-0.008426844,-0.015193869,-0.013685814,-0.036213772,-0.01275726,0.006363029,0.025438164,0.013649488,-0.009374751,0.255564601,0.383702734,0.455012698,0.443425617,0.416950624,0.327898514,0.49792564,0.106273986,0.141092078,0.157565606,0.158751601,0.179606739,0.192780909,0.142393201,0.245493421,0.157519491,0.10518279,0.13278769,2.810707457,123.046875
41,Adiye ,Kadal,0.5,0.75,-0.013489009,-0.012010851,-0.059604754,-0.047232406,-0.030746249,-0.031530946,-0.038236927,-0.062587932,-0.022396432,-0.059740818,-0.040663123,-0.024949316,-0.02233166,0.390916267,0.428224133,0.414494124,0.453533428,0.401147678,0.337564769,0.456671493,0.105119805,0.153488026,0.162302133,0.169410418,0.184286149,0.134382765,0.127197358,0.32543165,0.179695574,0.06823251,0.12566975,1.696153846,151.9990809
42,Sara Sara Saarakathu,Vaagai Sooda Va,0.5,0.75,-0.014878214,0.019641529,-0.029105021,0.008194626,-0.09701079,-0.027053339,-0.046393875,-0.040996973,-0.016370557,-0.025632359,-0.012773561,-0.004544861,0.038627625,0.360261163,0.369650889,0.386071683,0.440140642,0.395893934,0.368112825,0.488616468,0.114542237,0.149455568,0.152239444,0.159047926,0.186521579,0.154508995,0.099372225,0.232248461,0.165519478,0.051412784,0.09304318,4.457274119,103.359375
43,Seval Kodi ,Billa,0.833333333,0.833333333,-0.025093423,-0.049291893,-0.043888929,-0.045757245,-0.024273106,-0.025673183,0.004314318,-0.045162529,-0.016230456,-0.018733779,-0.039018744,-0.033222781,-0.016057702,0.397539631,0.336404179,0.346596978,0.371703248,0.306111145,0.311772126,0.499120688,0.16441689,0.154358489,0.155870093,0.18170345,0.1667288,0.169656982,0.104254049,0.417168627,0.177619055,0.15976365,0.14558369,4.60786724,129.1992188
44,Soi Soi,Kumki,1,0.833333333,-0.016687116,-0.012107873,-0.00193439,-0.01197156,-0.017166718,-0.014612574,0.012404103,0.002386056,0.019546546,-0.050170724,-0.020151178,-0.036796833,-0.010348597,0.347505238,0.349527281,0.384839824,0.417206861,0.447950921,0.368567322,0.395896337,0.133220587,0.13394207,0.167667685,0.183514786,0.195199678,0.214118429,0.123044808,0.254168701,0.15161427,0.07764655,0.15087299,4.59375,123.046875
45,Aiyayoo,Paruthiveeran,0.5,0.75,-0.045715088,-0.008427205,-0.076431976,-0.064984806,-0.037362795,-0.137054308,-0.094123522,0.007280089,-0.013520465,-0.080380007,-0.029254552,-0.016788982,-0.031884694,0.343391855,0.398396026,0.479374352,0.482155139,0.516420145,0.449183094,0.434791197,0.1535631,0.181862893,0.172180937,0.176698341,0.191815758,0.188831351,0.177756545,0.462325998,0.146328642,0.060370654,0.08130536,5.800856531,89.10290948
46,Ini Acham Acham Illai,Indira,0.583333333,0.583333333,-0.006501497,0.006285565,0.046066445,-0.015711554,0.033205516,0.016139064,0.026940314,0.025991404,0.014114882,-0.045593144,-0.013877226,0.001014301,0.03310695,0.368061081,0.428550262,0.359020541,0.461460456,0.410176921,0.449034195,0.70554054,0.116216847,0.132775974,0.139223533,0.160578971,0.170151614,0.195719558,0.091979049,0.388900349,0.156414931,0.08018653,0.08257802,1.893738289,143.5546875
47,Mazhai Thuli Mannil,Sangamam,0.75,0.416666667,-0.028843437,-0.010958501,-0.025972987,-0.00172346,-0.015512327,-0.008550717,0.000461189,-0.040640551,-0.004473802,-0.029175848,-0.023609308,-0.007460119,-0.044343879,0.355416187,0.383542899,0.300015789,0.334524896,0.410267186,0.311496903,0.393189306,0.141565457,0.14605239,0.134603868,0.152493184,0.18838277,0.19814211,0.105236634,0.293944308,0.143241945,0.22276944,0.18484153,5.334677419,135.9991776
48,Thirupachi Aruvala,Taj Mahal,0.833333333,0.75,0.007226467,-0.026542652,0.045846284,0.060378772,-0.019730688,0.019844164,0.02004615,-0.048455175,0.037335195,0.006941103,-0.045926086,-0.018499233,-0.025703437,0.359460688,0.355275146,0.426751978,0.318313444,0.373900871,0.411324799,0.659140418,0.159270805,0.138613466,0.175784792,0.158813713,0.163012401,0.205287811,0.0906091,0.276656759,0.210003399,0.022759926,0.06639126,3.601130653,117.4538352
49,Aararirao,Raam,0.333333333,0.25,-0.022588286,0.002029345,0.037043505,-0.01678893,-0.021865277,0.004447182,-0.04512345,-0.034550844,0.024240444,-0.049103619,-0.03337844,-0.024262039,-0.031598344,0.235763934,0.370069662,0.344732964,0.576323755,0.519862168,0.413138162,0.579896258,0.117676272,0.124898772,0.121418685,0.127522775,0.147801546,0.21712602,0.123705633,0.443647526,0.223626237,0.0821375,0.10773361,1.626306085,135.9991776
50,Thaiya Thaiya,Uyire,0.75,0.75,-0.02581552,-0.026208924,-0.024824421,-0.011623135,-0.012968417,-0.013835778,-0.053269889,-0.089704891,0.019954893,-0.031479818,-0.000847634,0.016024304,0.023053928,0.487078667,0.406576989,0.407174747,0.58003168,0.528911517,0.583734298,0.525166968,0.128129033,0.151039979,0.14322373,0.167895,0.188103,0.169026933,0.166378012,0.29832725,0.162403124,0.066569984,0.10729088,3.519686835,89.10290948
51,Nenjinile Nenjinile,Uyire,0.666666667,0.583333333,-0.036669938,0.031455159,0.007504274,0.019858495,-0.033216043,-0.012743518,-0.011451699,-0.032564161,-0.001734155,-0.000816364,-0.011358495,-0.012003317,-0.001567016,0.360927669,0.377695176,0.321170437,0.367770376,0.421204635,0.271228387,0.372745283,0.136587263,0.167978237,0.134897291,0.153512913,0.159735665,0.162280332,0.14217609,0.397725003,0.163131647,0.11670846,0.1763621,4.434186472,143.5546875
52,Kaatukuyile Manasukulle,Thalapathy,0.916666667,0.666666667,-0.030781198,-0.073592752,-0.000881486,-0.056345563,-0.024014003,-0.075346126,0.023201339,-0.058027137,-0.026596535,-0.006252859,-0.011736737,-0.038063306,-0.003039774,0.326061132,0.392126207,0.399918222,0.437419368,0.387433923,0.298624798,0.53508201,0.148732496,0.171227952,0.156818945,0.178119614,0.168955421,0.166713316,0.150505256,0.289275915,0.218494165,0.13609083,0.18268783,4.171803479,123.046875
53,Oorora Puliyamaram,Paruthiveeran,0.666666667,0.666666667,-0.039957998,-0.054688782,-0.045571105,-0.036201532,-0.05049983,-0.02575462,-0.011987327,-0.043870411,-0.063156343,-0.05670436,-0.060370171,-0.050571136,-0.020170435,0.33105434,0.379461334,0.363086104,0.35794409,0.329926269,0.319964429,0.527858728,0.136275269,0.165651622,0.171701103,0.148527516,0.145945335,0.146559607,0.125067118,0.506560583,0.171126718,0.23344743,0.18848065,5.61505032,117.4538352
54,Thalli Pogadhe,AYM,0.416666667,0.416666667,-0.009947174,0.005285731,-0.039825009,0.002304975,-0.020818594,0.012136866,0.023719316,-0.020372242,0.01447201,-0.011836139,-0.011567604,-0.017732837,-0.018553651,0.310628149,0.483610683,0.436456092,0.529852441,0.45049498,0.525092571,0.574317156,0.127248502,0.156634104,0.14099235,0.146645536,0.174746752,0.174593376,0.121054876,0.386945434,0.185023719,0.061309624,0.07427004,2.697247706,129.1992188
55,Yenna Solla Pogirai,Kandukondein Kandukondein,0.5,0.25,-0.00571329,-0.013284719,0.033849543,0.00710289,0.045310231,-0.037920758,0.007973664,-0.042034351,-0.005666003,-0.010789299,-0.008063543,-0.0403867,-0.009116273,0.338155943,0.370597292,0.411230689,0.409673415,0.350247785,0.372259131,0.415033096,0.160365388,0.155121968,0.158697211,0.176919345,0.199510622,0.203172732,0.1654858,0.186813643,0.124727076,0.041106474,0.076119505,4.543269231,107.6660156
56,Oru Poiyavadhu Sol,Jodi,0.25,0.166666667,-0.019791856,0.004479136,-0.02111458,-0.062238663,-0.010102018,-0.06016168,-0.015729787,-0.038551939,-0.025211685,0.036422616,0.011906727,-0.022054327,-0.00247081,0.384513204,0.338208646,0.399419861,0.415547937,0.363953299,0.432849782,0.555222025,0.143151906,0.131585517,0.158077469,0.160632712,0.145473119,0.114741851,0.085416937,0.35155962,0.177212134,0.13588509,0.1742954,4.312958435,89.10290948
57,Tirunelveli Halwa,Saamy,0.916666667,0.833333333,-0.023445204,-0.018598592,-0.020767099,0.013999193,-0.08021941,-0.041477804,-0.024194903,-0.090819546,-0.023866225,-0.013457719,-0.035941275,-0.017854159,-0.012254449,0.364727246,0.36539759,0.356553211,0.364982703,0.408148265,0.403978683,0.540514186,0.143574647,0.168009991,0.145265973,0.182712901,0.213514364,0.231904503,0.143064828,0.347580044,0.179275015,0.09862247,0.15920755,5.185858277,143.5546875
